"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","q1","q2","q3","q4","q7","q8","q6","q5","q9","q3_0","q26","q11","q27","q28","q28_0","q49_1","q49_2","q49_3","q41","q15","q16","q17","q17_text","q39","q31","q32","q33","q38","q36_1","q42","q37","q8_0","q9_0","q10","q11_0","q11_text","q12","q12_text","q13","q18","q19","do_br_fl_2","do_bl_50f_50m","do_bl_governmentarchitecture","time","filter__","rep","chief","second","third","direct","mmff","mfmf","mffm","fmmf","fmfm","ffmm","easy","mid","hard","plastics","light","heavy","gender","race","age","income"
"149","R_6M2Mo2dLeuwNWDj","Default Response Set","Anonymous","","","","0",41658.91796875,41658.91796875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,5,1,"united states","connecticut","a small city or town","",1,NA,NA,NA,1,63,1,"$1,000 to $4,000",1,"55-59","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",184,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,5,1,1,0,"female","white","55-59","$25,000 to under $50,000"
"150","R_5cFnbADpyNwbeL3","Default Response Set","Anonymous","","","","0",41658.91796875,41658.91796875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","north carolina","a large city","",1,NA,1,NA,NA,42,1,"less than $1000",1,"45-54","female","white","","bachelors degree","","$75,000 to under $100,000","moderate","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",106,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"female","white","45-54","$75,000 to under $100,000"
"155","R_b1NOBRr2O7CFSHH","Default Response Set","Anonymous","","","","0",41658.921875,41658.921875,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,69,52,25,1,"united states","indiana","a small city or town","",1,NA,1,NA,NA,19,1,"$1,000 to $4,000",1,"45-54","male","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","moderate","Thank you.. :-)","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",165,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,69,52,25,0,0,0,"male","white","45-54","$50,000 to under $75,000"
"158","R_a2ZkU0NKo9irXcF","Default Response Set","Anonymous","","","","0",41658.921875,41658.921875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,86,100,100,1,"united states","new mexico","a small city or town","",1,NA,NA,1,NA,59,1,"$5,000 to $9,999",1,"45-54","female","white","","graduate or professional degree","","$50,000 to under $75,000","liberal","","50F/50M","Q9|Q26","Q39|Q33|Q36|Q42|Q37",165,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,86,100,100,0,1,1,"female","white","45-54","$50,000 to under $75,000"
"159","R_eQjHeA2BU37YbOJ","Default Response Set","Anonymous","","","","0",41658.921875,41658.92578125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,54,1,"united states","california","a small city or town","",1,NA,1,NA,NA,2,1,"less than $1000",1,"65-74","male","white","","some college, no degree","","$75,000 to under $100,000","conservative","Governing and politics h","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",358,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,54,1,1,0,"male","white","65-74","$75,000 to under $100,000"
"161","R_d4jElhA4p6N6led","Default Response Set","Anonymous","","","","0",41658.921875,41658.92578125,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","new york","a large city","",1,1,NA,NA,NA,65,1,"$1,000 to $4,000",1,"35-44","male","black or african american","","bachelors degree","","$150,000 or more","very conservative","","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",156,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"male","black or african american","35-44","$150,000 or more"
"163","R_6thupR6q3rhoGEt","Default Response Set","Anonymous","","","","0",41658.921875,41658.9296875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,81,50,1,"united states","new york","a large city","",1,NA,1,NA,NA,71,1,"$20,000 to $24,999",1,"65-74","female","white","","graduate or professional degree","","i' rather not say","liberal","","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",460,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,81,50,1,0,0,"female","white","65-74","i' rather not say"
"166","R_aVhrfea7VHxT69D","Default Response Set","Anonymous","","","","0",41658.92578125,41658.92578125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","arizona","a large city","",1,NA,NA,NA,1,10,1,"less than $1000",1,"65-74","female","white","","associate degree","","$10,000 to under $25,000","liberal","","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",243,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,100,100,1,1,1,"female","white","65-74","$10,000 to under $25,000"
"173","R_9Y6DnCBt3SODc6p","Default Response Set","Anonymous","","","","0",41658.92578125,41658.9296875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,81,71,1,"united states","new york","a suburban near a large city","",1,NA,1,NA,NA,50,1,"$10,000 to $14,999",1,"35-44","male","white","","bachelors degree","","i' rather not say","moderate","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",171,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,81,71,1,0,0,"male","white","35-44","i' rather not say"
"177","R_blrBZFze0K8GhyR","Default Response Set","Anonymous","","","","0",41658.9296875,41658.9296875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","kentucky","a rural area","",1,NA,1,NA,NA,60,1,"less than $1000",1,"35-44","female","white","","high school graduate (includes equivalency)","","$10,000 to under $25,000","moderate","Enjoyed it. Thanks.","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",284,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"female","white","35-44","$10,000 to under $25,000"
"178","R_6mOcaa3LxQm0QUB","Default Response Set","Anonymous","","","","0",41658.9296875,41658.9296875,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,69,99,1,"canada",NA,"a large city","",1,1,NA,NA,NA,30,1,"less than $1000",1,"45-54","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",277,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,69,99,1,0,0,"female","white","45-54","$25,000 to under $50,000"
"180","R_5Bhx7K0CxXpN153","Default Response Set","Anonymous","","","","0",41658.9296875,41658.9296875,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,90,90,89,1,"united states","new york","a large city","",1,NA,NA,1,NA,9,1,"$1,000 to $4,000",1,"45-54","male","hispanic or latino (of any race)","","graduate or professional degree","","$100,000 to under $150,000","moderate","","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",140,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,90,90,89,0,0,0,"male","hispanic or latino (of any race)","45-54","$100,000 to under $150,000"
"183","R_9YpzCXkdLRdByuh","Default Response Set","Anonymous","","","","0",41658.9296875,41658.9296875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,99,1,80,1,"united states","pennsylvania","a small city or town","",1,NA,NA,NA,1,0,1,"less than $1000",1,"55-59","male","white","","associate degree","","$50,000 to under $75,000","moderate","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",132,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,99,1,80,0,0,0,"male","white","55-59","$50,000 to under $75,000"
"185","R_6Mz1n8Xrf5OBmC1","Default Response Set","Anonymous","","","","0",41658.93359375,41658.9375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","wisconsin","a small city or town","",1,1,NA,NA,NA,75,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","$25,000 to under $50,000","moderate","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",395,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","45-54","$25,000 to under $50,000"
"190","R_b73KZEBjGl5h3F3","Default Response Set","Anonymous","","","","0",41658.93359375,41658.93359375,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,96,99,100,1,"united states","florida","a suburban near a large city","",1,1,NA,NA,NA,52,1,"$1,000 to $4,000",1,"35-44","female","white","","bachelors degree","","i' rather not say","liberal","","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",160,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,96,99,100,0,0,1,"female","white","35-44","i' rather not say"
"192","R_beI7LD9cFqMGlFP","Default Response Set","Anonymous","","","","0",41658.93359375,41658.94140625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,51,52,50,1,"united states","mississippi","a small city or town","",1,NA,NA,1,NA,20,1,"less than $1000",1,"35-44","female","black or african american","","bachelors degree","","less than $10,000","very liberal","","50F/50M","Q8|Q26","Q39|Q33|Q36|Q42|Q37",759,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,51,52,50,0,0,0,"female","black or african american","35-44","less than $10,000"
"195","R_bEez2gxP1H27Hhj","Default Response Set","Anonymous","","","","0",41658.9375,41658.9375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,99,98,98,1,"united states","arizona","a large city","",1,NA,1,NA,NA,98,1,"less than $1000",1,"45-54","female","white","","associate degree","","$25,000 to under $50,000","moderate","none","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",192,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,99,98,98,0,0,0,"female","white","45-54","$25,000 to under $50,000"
"196","R_en51kzNiClp3gmV","Default Response Set","Anonymous","","","","0",41658.9375,41658.94140625,0,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q9|Q26","",323,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,NA,NA,NA,NA
"202","R_07HKiYRAAqWv9n7","Default Response Set","Anonymous","","","","0",41658.9375,41658.9453125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"india",NA,"a small city or town","",1,NA,NA,1,NA,70,1,"less than $1000",1,"20-24","male","asian or pacific islander","","some college, no degree","","less than $10,000","very conservative","I am honest and truthful","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",571,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"male","asian or pacific islander","20-24","less than $10,000"
"206","R_a95Utoe3qQ2OmUJ","Default Response Set","Anonymous","","","","0",41658.94140625,41658.94140625,0,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,82,9,2,1,"united states","new york","a large city","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",70,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,82,9,2,0,0,0,NA,NA,NA,NA
"208","R_eX2FNSjXadCAVUh","Default Response Set","Anonymous","","","","0",41658.94140625,41658.94140625,0,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q7|Q26","",27,0,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","R_8vr5OJiLMnCXLhz","Default Response Set","Anonymous","","","","0",41658.9453125,41658.94921875,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","nevada","a suburban near a large city","",1,NA,NA,NA,1,80,1,"$1,000 to $4,000",1,"35-44","female","black or african american","","bachelors degree","","$25,000 to under $50,000","liberal","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",607,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","black or african american","35-44","$25,000 to under $50,000"
"217","R_agBZ6VTdS699Mod","Default Response Set","Anonymous","","","","0",41658.94921875,41658.953125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,98,69,54,1,"united states","alabama","a small city or town","",1,NA,1,NA,NA,67,1,"$1,000 to $4,000",1,"35-44",NA,"white","","some college, no degree","","$50,000 to under $75,000","moderate","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",540,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,98,69,54,0,0,0,NA,"white","35-44","$50,000 to under $75,000"
"218","R_eICvEXf2GuQedXn","Default Response Set","Anonymous","","","","0",41658.94921875,41658.94921875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,99,1,"united states","wisconsin","a rural area","",1,NA,NA,NA,1,51,1,"$50,000 or more",1,"35-44","female","white","","associate degree","","$50,000 to under $75,000","moderate","none","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",126,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,99,1,1,0,"female","white","35-44","$50,000 to under $75,000"
"221","R_8oy9RBROsJY5Jel","Default Response Set","Anonymous","","","","0",41658.94921875,41658.953125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,26,23,1,"united states","illinois","a large city","",1,NA,NA,NA,1,1,1,"$15,000 to $19,999",1,"35-44","female","white","","bachelors degree","","$150,000 or more","moderate","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",193,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,26,23,1,0,0,"female","white","35-44","$150,000 or more"
"223","R_8euwDQ3cpJpg9ud","Default Response Set","Anonymous","","","","0",41658.94921875,41659.98828125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,92,1,"united states","new york","a large city","",1,NA,NA,1,NA,80,1,"$10,000 to $14,999",1,"65-74","male","white","","graduate or professional degree","","$75,000 to under $100,000","very liberal","","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",89766,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,92,1,1,0,"male","white","65-74","$75,000 to under $100,000"
"227","R_8hNaUP4fAKRw6sR","Default Response Set","Anonymous","","","","0",41658.953125,41658.953125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,90,82,89,1,"united states","california","a suburban near a large city","",1,1,NA,NA,NA,72,1,"$5,000 to $9,999",1,"35-44","male","asian or pacific islander","","bachelors degree","","$75,000 to under $100,000","moderate","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",122,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,90,82,89,0,0,0,"male","asian or pacific islander","35-44","$75,000 to under $100,000"
"230","R_cGhPNJ065lGn5Dn","Default Response Set","Anonymous","","","","0",41658.953125,41658.9609375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,42,22,43,1,"united states","new york","a large city","",1,NA,NA,NA,1,37,1,"$5,000 to $9,999",1,"25-34","male","black or african american","","bachelors degree","","$75,000 to under $100,000","moderate","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",619,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,42,22,43,0,0,0,"male","black or african american","25-34","$75,000 to under $100,000"
"232","R_cYfnc0a8HuW7X7v","Default Response Set","Anonymous","","","","0",41658.95703125,41658.9609375,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","illinois","a suburban near a large city","",1,NA,1,NA,NA,28,1,"$1,000 to $4,000",1,"45-54","female","white","","bachelors degree","","$25,000 to under $50,000","moderate","","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",300,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","white","45-54","$25,000 to under $50,000"
"234","R_cYXcsRpl8HqgDlP","Default Response Set","Anonymous","","","","0",41658.9609375,41658.9609375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,19,21,1,"united kingdom",NA,"a large city","",1,NA,NA,1,NA,60,1,"less than $1000",1,"65-74","male","white","","some college, no degree","","$25,000 to under $50,000","conservative","recycling is the only an","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",246,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,19,21,1,0,0,"male","white","65-74","$25,000 to under $50,000"
"237","R_8G1AVeLNt2pfV6R","Default Response Set","Anonymous","","","","0",41658.9609375,41658.96484375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,85,100,100,1,"united states","california","a suburban near a large city","",1,NA,NA,NA,1,NA,1,"less than $1000",1,"35-44","female","white","","graduate or professional degree","","$75,000 to under $100,000","conservative","","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",181,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,85,100,100,0,1,1,"female","white","35-44","$75,000 to under $100,000"
"241","R_3JAv9PDEc2yY5Fz","Default Response Set","Anonymous","","","","0",41658.96484375,41658.96875,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,8,1,"united states","pennsylvania","a large city","",1,NA,NA,1,NA,52,1,"$15,000 to $19,999",1,"65-74","female","white","","graduate or professional degree","","$75,000 to under $100,000","liberal","","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",312,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,8,1,1,0,"female","white","65-74","$75,000 to under $100,000"
"244","R_1UqMXuoZXv0idh3","Default Response Set","Anonymous","","","","0",41658.97265625,41658.9765625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","new jersey","a rural area","",1,NA,NA,1,NA,69,1,"less than $1000",1,"55-59","female","white","","some college, no degree","","$25,000 to under $50,000","conservative","","50F/50M","Q9|Q26","Q39|Q33|Q36|Q42|Q37",487,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","55-59","$25,000 to under $50,000"
"247","R_3CTUSoSB0vZitjT","Default Response Set","Anonymous","","","","0",41658.97265625,41658.98046875,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","new york","a large city","",1,NA,NA,NA,1,50,1,"less than $1000",1,"45-54","female","black or african american","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",710,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","black or african american","45-54","$25,000 to under $50,000"
"249","R_3fLd5VwDWxEqF3T","Default Response Set","Anonymous","","","","0",41658.97265625,41658.9765625,0,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","kentucky","a small city or town","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q9|Q26","Q39|Q33|Q36|Q42|Q37",170,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,NA,NA,NA,NA
"252","R_6Gd5NlG3pkr7rJr","Default Response Set","Anonymous","","","","0",41658.9765625,41658.98828125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,71,50,20,1,"united states","new york","a large city","",1,NA,NA,NA,1,29,1,"$10,000 to $14,999",1,"65-74","male",NA,"","graduate or professional degree","","$75,000 to under $100,000","moderate","","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",902,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,71,50,20,0,0,0,"male",NA,"65-74","$75,000 to under $100,000"
"253","R_eqHkFN1WyAhaOUd","Default Response Set","Anonymous","","","","0",41658.98046875,41658.98046875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,NA,1,NA,"florida","a large city","",1,NA,NA,1,NA,43,1,"$1,000 to $4,000",1,"45-54","male","asian or pacific islander","","associate degree","","$25,000 to under $50,000","very liberal","its a great idea one tha","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",218,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,NA,1,1,NA,"male","asian or pacific islander","45-54","$25,000 to under $50,000"
"254","R_cXQsXuPUYLowh5b","Default Response Set","Anonymous","","","","0",41658.98046875,41658.9921875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,95,92,95,1,"united states","north carolina","a rural area","",1,NA,NA,NA,1,0,1,"less than $1000",1,"45-54","female","white","","bachelors degree","","$50,000 to under $75,000","very conservative","nothing, thanks","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",1054,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,95,92,95,0,0,0,"female","white","45-54","$50,000 to under $75,000"
"257","R_d556Sn92ySTDUCp","Default Response Set","Anonymous","","","","0",41658.98046875,41658.984375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,81,91,90,1,"united states","arkansas","a small city or town","",1,NA,NA,NA,1,30,1,"less than $1000",1,"55-59","male","white","","some college, no degree","","$50,000 to under $75,000","conservative","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",183,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,81,91,90,0,0,0,"male","white","55-59","$50,000 to under $75,000"
"261","R_9H56lvuSZqvKfPf","Default Response Set","Anonymous","","","","0",41658.984375,41658.984375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,33,35,30,1,"united states","minnesota","a suburban near a large city","",1,NA,NA,NA,1,32,1,"$1,000 to $4,000",1,"35-44","female","other","Multi race","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",153,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,33,35,30,0,0,0,"female","other","35-44","$25,000 to under $50,000"
"263","R_3WWhEAk9yt2ZCkt","Default Response Set","Anonymous","","","","0",41658.984375,41658.99609375,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,71,7,8,1,"united states","missouri","a small city or town","",1,NA,NA,NA,1,5,1,"less than $1000",1,"65-74","female","white","","some college, no degree","","$50,000 to under $75,000","very conservative","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",1033,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,71,7,8,0,0,0,"female","white","65-74","$50,000 to under $75,000"
"267","R_0epyK3rdahOi9aB","Default Response Set","Anonymous","","","","0",41658.98828125,41658.98828125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,74,92,77,1,"united states","florida","a suburban near a large city","",1,1,NA,NA,NA,94,1,"$10,000 to $14,999",1,"25-34","male","asian or pacific islander","","graduate or professional degree","","$50,000 to under $75,000","moderate","Great information.","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",207,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,74,92,77,0,0,0,"male","asian or pacific islander","25-34","$50,000 to under $75,000"
"273","R_5dvDm0Y5az9Smq1","Default Response Set","Anonymous","","","","0",41658.9921875,41658.9921875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,0,0,0,1,"united states","texas","a small city or town","",1,NA,NA,NA,1,19,1,"less than $1000",1,"20-24","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",199,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"female","white","20-24","$25,000 to under $50,000"
"274","R_9WZnLN8dSvywM8R","Default Response Set","Anonymous","","","","0",41658.9921875,41658.9921875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,82,2,4,1,"united states","new york","a rural area","",1,NA,NA,NA,1,37,1,"less than $1000",1,"55-59","female","white","","some college, no degree","","$25,000 to under $50,000","conservative","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",139,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,82,2,4,0,0,0,"female","white","55-59","$25,000 to under $50,000"
"279","R_0BWQDR9PVjXWnat","Default Response Set","Anonymous","","","","0",41658.9921875,41658.99609375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,91,78,80,1,"united states","rhode island","a large city","",1,1,NA,NA,NA,75,1,"$1,000 to $4,000",1,"60-64","female","black or african american","","bachelors degree","","$50,000 to under $75,000","liberal","Thanks.","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",214,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,91,78,80,0,0,0,"female","black or african american","60-64","$50,000 to under $75,000"
"283","R_enSDEB0gzfF10rP","Default Response Set","Anonymous","","","","0",41658.99609375,41659,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,30,60,51,1,"united states","pennsylvania","a suburban near a large city","",1,1,NA,NA,NA,71,1,"$1,000 to $4,000",1,"25-34","male","hispanic or latino (of any race)","","bachelors degree","","$10,000 to under $25,000","moderate","","50F/50M","Q3|Q26","Q39|Q31|Q36|Q42|Q37",184,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,30,60,51,0,0,0,"male","hispanic or latino (of any race)","25-34","$10,000 to under $25,000"
"286","R_7a23XAa0zGNmfVX","Default Response Set","Anonymous","","","","0",41659,41659.00390625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,50,50,50,1,"united states","tennessee","a rural area","",1,NA,NA,NA,1,19,1,"less than $1000",1,"55-59","male","white","","some college, no degree","","$25,000 to under $50,000","very conservative","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",226,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,50,50,50,0,0,0,"male","white","55-59","$25,000 to under $50,000"
"290","R_aXiBOX3ksMif8dT","Default Response Set","Anonymous","","","","0",41659.00390625,41659.0078125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","new york","a large city","",1,NA,NA,NA,1,55,1,"$1,000 to $4,000",1,"60-64","female","white","","bachelors degree","","$10,000 to under $25,000","moderate","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",483,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","white","60-64","$10,000 to under $25,000"
"292","R_395dRRYVDRr2Mh7","Default Response Set","Anonymous","","","","0",41659.00390625,41659.0078125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,49,1,"united kingdom",NA,"a small city or town","",1,NA,1,NA,NA,53,1,"$1,000 to $4,000",1,"55-59","male","white","","high school graduate (includes equivalency)","","$150,000 or more","moderate","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",110,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,49,1,1,0,"male","white","55-59","$150,000 or more"
